Time,何洛洛,周震南,吴宣仪,杨超越,张颜齐,李汶翰,孟美岐,姚琛,夏之光,刘也
0:00:01,1622685,1459671,849972,292964,210169,136195,128714,87852,75349,67859
0:01:00,1624173,1469147,850516,293006,210194,136225,128719,87868,75362,67889
0:02:01,1625784,1480725,851295,293072,210209,136290,128730,87883,75379,67929
0:03:00,1627513,1491278,852117,293158,210250,136321,128768,87917,75395,67971
0:04:01,1629217,1502601,852904,293275,210315,136389,128830,87963,75428,68031
0:05:01,1630890,1511599,853731,293419,210352,136445,128892,88012,75473,68091
0:06:00,1632529,1517354,854560,293572,210392,136497,128961,88047,75493,68139
0:07:01,1634002,1522909,855348,293789,210435,136558,129020,88084,75522,68165
0:08:00,1635608,1528430,856155,294048,210522,136612,129086,88135,75555,68195
0:09:01,1636988,1533650,856881,294274,210560,136682,129137,88173,75574,68264
0:10:01,1638367,1538601,857671,294529,210591,136729,129214,88209,75584,68293
0:11:00,1639776,1543027,858394,294719,210634,136780,129262,88223,75626,68316
0:12:01,1641179,1547464,859107,294897,210677,136837,129309,88265,75667,68342
0:13:00,1642543,1551339,859784,295069,210730,136885,129371,88285,75686,68369
0:14:01,1643808,1555114,860445,295291,210758,136946,129444,88333,75715,68420
0:15:00,1645198,1559294,861095,295509,210820,137019,129576,88383,75738,68484
0:16:01,1646404,1563603,861638,295648,210836,137056,129667,88430,75773,68523
0:17:00,1647527,1567592,862176,295862,210886,137082,129767,88500,75780,68573
0:18:01,1648771,1571771,862748,296023,210895,137108,129884,88545,75784,68612
0:19:01,1649954,1575609,863268,296225,210923,137136,129989,88567,75830,68635
0:20:00,1651132,1579035,863764,296396,210955,137172,130100,88601,75865,68702
0:21:01,1652361,1582691,864241,296580,210982,137201,130180,88659,75896,68750
0:22:00,1653558,1586274,864661,296786,210986,137253,130294,88706,75926,68808
0:23:01,1654688,1589487,865197,296968,211039,137271,130423,88749,75956,68837
0:24:01,1655829,1592794,865661,297167,211081,137289,130541,88755,75962,68905
0:25:00,1656968,1595987,866086,297359,211114,137324,130599,88767,75974,68942
0:26:01,1658163,1599090,866559,297555,211140,137357,130706,88792,75985,68962
0:27:00,1659278,1602179,866979,297715,211167,137400,130761,88798,76009,68981
0:28:01,1660364,1605223,867374,297843,211197,137423,130844,88828,76046,69013
0:29:00,1661445,1608426,867696,298047,211234,137441,130947,88865,76075,69043
0:30:00,1662469,1611364,868006,298191,211257,137478,131037,88901,76087,69062
0:31:01,1663434,1614270,868404,298367,211303,137526,131112,88936,76113,69084
0:32:00,1664441,1617005,868750,298522,211337,137572,131180,88973,76132,69090
0:33:01,1665434,1619671,869056,298649,211362,137612,131257,88989,76153,69114
0:34:00,1666498,1622402,869371,298762,211403,137694,131305,89011,76190,69151
0:35:01,1667473,1624758,869598,298872,211422,137734,131344,89035,76209,69176
0:36:01,1668438,1627201,869797,299003,211450,137799,131369,89070,76234,69187
0:37:00,1669322,1629666,870068,299096,211500,137840,131402,89106,76254,69202
0:38:01,1670306,1632108,870403,299222,211519,137900,131468,89148,76284,69243
0:39:01,1671265,1634526,870634,299307,211533,137927,131525,89167,76307,69267
0:40:00,1672179,1636828,870842,299432,211557,137938,131581,89192,76329,69279
